adult,belongs_to_collection,budget,genres,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count
False,,0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 53, 'name': 'Thriller'}]",,44918,tt1640571,en,Titanic II,"On the 100th anniversary of the original voyage, a modern luxury liner christened ""Titanic 2,"" follows the path of its namesake. But when a tsunami hurls an ice berg into the new ship's path, the passengers and crew must fight to avoid a similar fate.",4.359886,/tUSMxX60DGkTIoiDnUNNrJLtP3t.jpg,"[{'name': 'The Global Asylum', 'id': 1371}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2010-08-07,0,90.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,"100 years later, lightning strikes twice",Titanic 2,False,3.4,55
False,,0,"[{'id': 18, 'name': 'Drama'}, {'id': 10752, 'name': 'War'}]",,63990,tt1799110,en,Joanna,"In an era in which it is difficult for the true emotion and excitement, Feliks Falk found the key to the human heart. How many of us love? How much we are able to self-sacrifice? Is there a price that can not pay, when it comes to life of a loved one? Are we really as good as we think about yourself? In Joanna's life is given forever. Today's friend suddenly becomes an enemy. Reflex heart turns into a curse. When one of the lonely woman takes care of little girls-czynkę do not know that from now on, her life will be sweet - bitter taste. Fate in this film is everything. Allows people to find that in a moment blow and lead to separation. After-forgives love, for which you have to pay a huge price. Fulfills the promise of happiness loneliness, brittle as glass.",0.37667,/ucQ6WrQSPT9N5Vqf7wtJ7C600vB.jpg,"[{'name': 'ITI Cinema', 'id': 68040}]","[{'iso_3166_1': 'PL', 'name': 'Poland'}]",2010-11-26,0,88.0,"[{'iso_639_1': 'fr', 'name': 'Français'}, {'iso_639_1': 'de', 'name': 'Deutsch'}, {'iso_639_1': 'pl', 'name': 'Polski'}]",Released,,Joanna,False,7.0,2
False,,0,"[{'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}]",,28669,tt0059635,en,Rasputin: The Mad Monk,"Rasputin, a crazed and debauched monk wreaks havoc at the local inn one night, chopping off the hand of one of the drinkers. As the bitter locals plan their revenge, the evil Rasputin works his satanic power over the beautiful women who serve at the Tsar's palace. Even the Tsarina herself is seduced by his evil ways and, as his influence begins to dominate government policy, there is only one course of action left... to destroy him before he destroys them all.",1.921686,/dRanLQi2WkTrqHvTz5TiGniOkKb.jpg,"[{'name': 'Seven Arts Productions', 'id': 516}, {'name': 'Hammer Film Productions', 'id': 1314}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",1966-03-06,0,91.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Ladies' Man - And Lady Killer!,Rasputin: The Mad Monk,False,5.6,25
False,,0,"[{'id': 99, 'name': 'Documentary'}]",,188421,tt1738321,en,A History of Horror with Mark Gatiss,"Mark Gatiss examines the history of the horror film, from classic Hollywood monsters to Hammer's glory days and beyond.",0.48845,/tvt41qD1YjJs0eGUF38MI3Wab1o.jpg,[],[],2010-10-25,0,177.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,A History of Horror with Mark Gatiss,False,9.0,3
False,,7500000,"[{'id': 27, 'name': 'Horror'}, {'id': 35, 'name': 'Comedy'}, {'id': 9648, 'name': 'Mystery'}]",,39164,tt0085693,en,House of the Long Shadows,"An American writer goes to a remote Welsh manor on a $20,000 bet: can he write a classic novel like ""Wuthering Heights"" in twenty-four hours? Upon his arrival, however, the writer discovers that the manor, thought empty, actually has several, rather odd, inhabitants.",1.185515,/uKi7gtXhqjR2uCOQsJ8KuuM7lsT.jpg,"[{'name': 'London-Cannon Films', 'id': 6231}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",1983-06-17,0,100.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,House of the Long Shadows,False,6.1,18
False,"{'id': 123720, 'name': 'Frankenstein (Hammer Series)', 'poster_path': '/fKiok5TbCKWRgfNd4Rj8gPMzGJp.jpg', 'backdrop_path': '/gl9Gi60C9WYVkObOMll19OROhMC.jpg'}",0,"[{'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}]",,3104,tt0061683,en,Frankenstein Created Woman,"A deformed tormented girl drowns herself after her lover is framed for murder and guillotined. Baron Frankenstein, experimenting with the transfer of souls, places the boy's soul into her body, bringing Christina back to life. Driven by revenge, she carries out a violent retribution on those responsible for both deaths.",2.302582,/s95WohDSxZ0WyCQn8fzS92ZN8Xv.jpg,"[{'name': 'Hammer Film Productions', 'id': 1314}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",1967-03-15,0,92.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Now Frankenstein has created a beautiful woman with the soul of the Devil!,Frankenstein Created Woman,False,5.9,33
False,,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 28, 'name': 'Action'}, {'id': 99, 'name': 'Documentary'}]",,20776,tt0321359,en,Return to the Batcave: The Misadventures of Adam and Burt,"Adam West and Burt Ward are taken on a crazy adventure when the Batmobile is stolen from a car museum and they must track down the thief and return it. After solving a puzzle, they realize that the clues to finding the fiend who stole the Batmobile are hidden in their past. During the search, they flashback to their three seasons in tights, including their many sexual escapades.",1.348822,/9jWkvwp9DNpUGAi57MiRwp3iYLJ.jpg,"[{'name': 'Artisan Entertainment', 'id': 2188}, {'name': 'The Kaufman Company', 'id': 17885}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2003-03-09,0,90.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,"Holy reunion, Batman!",Return to the Batcave: The Misadventures of Adam and Burt,False,5.8,14
False,"{'id': 37261, 'name': 'The Carry On Collection', 'poster_path': '/2P0HNrYgKDvirV8RCdT1rBSJdbJ.jpg', 'backdrop_path': '/38tF1LJN7ULeZAuAfP7beaPMfcl.jpg'}",0,"[{'id': 35, 'name': 'Comedy'}]",,24568,tt0061680,en,Follow That Camel,"Bertram Oliphant West (also known as Bo West) wants to clear his unjustly smeared reputation. He joins the Foreign Legion, with Simpson his manservant in tow. But the fort they get posted to is full of eccentric legionnaires, and there is trouble brewing with the locals too. Unbeknown to Bo, his lady love has followed him in disguise...",1.114848,/8nifhAeOQoTJReWuJTTnsUn2pBa.jpg,"[{'name': 'The Rank Organisation', 'id': 364}, {'name': 'Adder', 'id': 1847}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",1967-09-01,0,95.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Carry On Follow That Camel,False,6.1,19
False,,0,"[{'id': 27, 'name': 'Horror'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 35, 'name': 'Comedy'}]",,43085,tt0770739,en,Dead and Deader,"Lt. Bobby Quinn is a Special Forces commando killed during a recon mission in the Cambodian jungle. But when Quinn interrupts his own stateside autopsy, he discovers that the rest of his dead squad has been resurrected with a ravenous apetite for human flesh. Now with the help of a wisecracking cook and a sexy film geek, the part-zombie Quinn must stop the plague before it can infect the entire nation. Who holds the shocking secret behind this blood-crazed carnage? And what happens when Quinn stops gnawing on raw steak and starts chomping on the hot chick?",5.015147,/ofvuIqiOmeCbPAV8qUfSPDX5iy7.jpg,"[{'name': 'Mindfire Entertainment', 'id': 8068}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2006-12-16,0,89.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Dead and Deader,False,5.8,10
False,,0,"[{'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}]",,100671,tt0065217,en,The Witchmaker,A psychic researcher and his assistants investigate a series of murders of beautiful young women.,0.175253,/wIZpvR0GmCCyF2WmIeRxkHnICNz.jpg,"[{'name': 'LQ/JAF', 'id': 1814}, {'name': 'Las Cruces-Arrow', 'id': 9348}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1969-05-01,0,99.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,They Came To Investigate Witchcraft ... and found TERROR!,The Witchmaker,False,5.0,3
False,"{'id': 37261, 'name': 'The Carry On Collection', 'poster_path': '/2P0HNrYgKDvirV8RCdT1rBSJdbJ.jpg', 'backdrop_path': '/38tF1LJN7ULeZAuAfP7beaPMfcl.jpg'}",0,"[{'id': 35, 'name': 'Comedy'}]",,19307,tt0064133,en,Carry On Camping,"Sid and Bernie keep having their amorous intentions snubbed by their girlfriends Joan and Anthea, so when they decide to take them on a holiday to Paradise Camp, they think they're off to a nudist colony - but they couldn't be more wrong, and meet up with the weirdest bunch of campers you can imagine! Coach-loads of sex-starved schoolgirls and a party of hippies all add to the laughs.",4.103723,/dyas4yIxnhGarAhkuD7gsRCR7eQ.jpg,"[{'name': 'The Rank Organisation', 'id': 364}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",1969-05-29,0,88.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Fun and games in the great outdoors!,Carry On Camping,False,6.5,25
False,,0,[],,270762,tt2960048,en,What a Fuck Am I Doing on This Battlefield,"A portrait of the dark and tortured world of artist Matt Elliott, who opens up in rehearsals, interviews or writings. With disturbing clarity of expression, Elliott discusses his depression and the magic of inspiration, or reveals his heartfelt political opinions.",0.020752,/5WEf6yptosyD1Ji3NJqs1CqFa6R.jpg,[],[],2013-04-22,0,53.0,[],Released,,What a Fuck Am I Doing on This Battlefield,False,0.0,0
False,,0,"[{'id': 35, 'name': 'Comedy'}]",,48959,tt0120422,en,Up 'n' Under,The Cobblers Arms have been the best and most feared Amateur Rugby League team for the past ten years. Ex-pro Arthur bets their boss that he could train a bunch of deadbeats to defeat them in a local rugby sevens tournament. But to do so he must first get them into shape with the help of the very attractive Hazel Scott.,0.219999,/yz6sji3sPhT0xkPAM9dyHxu3Efa.jpg,[],[],1998-01-23,0,0.0,[],Released,,Up 'n' Under,False,5.6,6
False,,0,[],,214753,tt0106234,en,The Airzone Solution,"The Airzone Solution takes place in a future Britain where pollution has reached a point where the populace must often wear filtration masks when they venture outside. AirZone, a powerful corporation, signs a lucrative deal with the government to deal with the problem. The public is told that AirZone plans to build giant filtration plants to clean the atmosphere, but environmentalists are skeptical, especially when people begin dying and disappearing around AirZone facilities.",0.000108,/64DhIZK7mVZolxFG28ura8s0i9f.jpg,[],[],1993-01-01,0,65.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,The Airzone Solution,False,0.0,0
False,,0,[],,173874,tt0113769,en,The Many Faces of Christopher Lee,"Christopher Lee talks about his film career, while showing clips from some of his best films.",0.051939,/uYXdTmDTRY2hjMmPASl1vVHNqX0.jpg,"[{'name': 'Luminous Film & Video Works', 'id': 13432}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",1996-01-01,0,60.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,The Many Faces of Christopher Lee,False,10.0,1
False,,5,"[{'id': 14, 'name': 'Fantasy'}, {'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 878, 'name': 'Science Fiction'}]",,71016,tt0086189,en,The Return of Captain Invincible,"In WWII, Captain Invincible used his superpowers against the Nazis, and he was a hero. But when they accused him of supporting the communists, he retired to Australia. Now, after a US super secret super weapon is stolen, he's asked to come back, to help. Unfortunately, he's an alcoholic now... -- parody of superhero comic strips",0.836124,/wsFPnwgmPt4NCbT68nZiYoGEtia.jpg,"[{'name': 'Seven Keys', 'id': 37445}]","[{'iso_3166_1': 'AU', 'name': 'Australia'}]",1983-01-01,0,96.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,What the world needs now is a shining hero!,The Return of Captain Invincible,False,6.0,7
False,,0,"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}]",,151506,tt0114419,en,She Fought Alone,"All, including school administration and a friend, turn their backs on a girl who accused a classmate of rape.",0.622808,/F0sjL7WWOoBA7ea9If62OlRqL2.jpg,"[{'name': 'NBC Productions', 'id': 5253}, {'name': 'Bonnie Raskin Productions', 'id': 40462}, {'name': 'Granite House Inc.', 'id': 55123}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1995-11-06,0,87.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,She cried rape. But no one would listen.,She Fought Alone,False,4.1,7
False,,0,"[{'id': 35, 'name': 'Comedy'}]",,43995,tt0061085,en,That Riviera Touch,Eric and Ernie decide to take a holiday to the South of France and unwittingly become mixed up with a band of jewel thieves.,0.238579,/kAkDBgZWQYy89a79A9ZUVdR2Wp5.jpg,[],"[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",1966-03-29,0,98.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,That Riviera Touch,False,6.4,6
False,,500000,"[{'id': 27, 'name': 'Horror'}]",,40467,tt0082237,en,Dawn of the Mummy,"A group of fashion models disturb the tomb of a mummy and revive an ancient curse. Along with the mummy rising, slaves who were buried in the desert thousands of years before, also rise, with a craving for human flesh.",0.283443,/j20Xf7uCZzHMP90yIaVK0eZiGIZ.jpg,"[{'name': 'Harmony Gold', 'id': 7901}]","[{'iso_3166_1': 'EG', 'name': 'Egypt'}, {'iso_3166_1': 'IT', 'name': 'Italy'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",1981-12-11,0,93.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,"A monstrous, chilling terror stalking the living…",Dawn of the Mummy,False,3.6,8
False,,0,"[{'id': 878, 'name': 'Science Fiction'}]",,449696,tt0105492,en,The Stranger: Summoned by Shadows,Wearied by his travels through time and space The Stranger has rejected his long-time companion and is in self-imposed exile on a barren planet. Can he ignore the pleas for help from the locals who are tormented by The Conjuror?,3.5e-05,/aWnsJwOZB1ARhavpnh0O5ae8qWn.jpg,"[{'name': 'BBV Productions', 'id': 88355}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",1991-01-01,0,34.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,The Stranger: Summoned by Shadows,False,0.0,0
False,,0,"[{'id': 35, 'name': 'Comedy'}]",,79927,tt0102691,en,The Pope Must Die,"A less-than-qualified and far-from-perfect priest is mistakenly named the new pope. As the pontiff, he must deal with Vatican corruption, the Mob and the reappearance of his old lover.",9.015632,/yrYFhj8eVy2wjasv4ytqWX5FABM.jpg,"[{'name': 'Channel Four Films', 'id': 181}, {'name': 'British Screen Productions', 'id': 12745}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",1991-06-21,0,96.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Our Father who art in trouble...,The Pope Must Die,False,4.2,12
False,"{'id': 37261, 'name': 'The Carry On Collection', 'poster_path': '/2P0HNrYgKDvirV8RCdT1rBSJdbJ.jpg', 'backdrop_path': '/38tF1LJN7ULeZAuAfP7beaPMfcl.jpg'}",0,"[{'id': 35, 'name': 'Comedy'}]",,21251,tt0074286,en,Carry On England,"Captain S. Melly takes over as the new Commanding Officer at an experimental mixed sex air defence base. It's 1940 and England is under heavy bombardment, but the crew seem more interested in each other than the enemy planes above. Captain Melly plans to put a stop to all this, and becomes the target of a campaign to abandon his separatist ideals...",0.846154,/xd9qImTfWqQ1WzVtvo4CnLmH5IQ.jpg,"[{'name': 'The Rank Organisation', 'id': 364}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",1976-10-01,0,89.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Carry On England,False,4.8,15
False,,0,"[{'id': 18, 'name': 'Drama'}]",,374764,tt3529010,es,Cómo funcionan casi todas las cosas,"Celina works at a remote tollbooth on a desert road, few days before Christmas, her father dies and Celina becomes a door-to-door encyclopedia saleswoman so she can earn enough money to travel to Italy and find her mom.",0.274793,/cMsD2BSDgXuHceypiKc0jW5r7Iz.jpg,"[{'name': 'Tarea Fina', 'id': 64499}]","[{'iso_3166_1': 'AR', 'name': 'Argentina'}]",2015-11-12,0,0.0,"[{'iso_639_1': 'es', 'name': 'Español'}]",Released,,How Most Things Work,False,6.8,2
False,"{'id': 477208, 'name': 'DC Super Hero Girls Collection', 'poster_path': None, 'backdrop_path': None}",0,"[{'id': 16, 'name': 'Animation'}]",,460135,tt7158814,en,LEGO DC Super Hero Girls: Brain Drain,"When Supergirl, Wonder Woman, Batgirl, Bumblebee and Katana suddenly realize they cannot remember a single moment from their Monday at Super Hero High, the young DC Super Heroes spring into sleuthing action! Suspecting foul-play, they band together to retrace their steps and uncover the mystery of who exactly stole their memories – and what nefarious plan might be afoot?",8.413734,/niLX2txdI5GlVowJlnb5Hr26QpK.jpg,"[{'name': 'Warner Bros. Animation', 'id': 2785}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2017-08-30,0,0.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'pl', 'name': 'Polski'}, {'iso_639_1': 'pt', 'name': 'Português'}]",Released,,LEGO DC Super Hero Girls: Brain Drain,False,10.0,2
False,,0,"[{'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 10769, 'name': 'Foreign'}]",,42247,tt0478737,en,Treasure Raiders,"Michael, an American professor teaching history at Moscow University, finances his passion for treasure hunting with competitive street racing. His racing nemesis Wolf becomes his ally as they both embark on a quest to search for a famous ancient Russian treasure.",0.23908,/7XF7VSqT6hqsAh7W72TqePZJrWn.jpg,[],[],2007-04-20,0,95.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'ru', 'name': 'Pусский'}]",Released,Speed is part of the game...,Treasure Raiders,False,2.2,3
False,,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}]",,426272,tt6598626,en,Take Me,Ray is a fledgling entrepreneur who specializes in high-end simulated abductions. He jumps at the chance when a mysterious client contracts him for a weekend kidnapping with a handsome payday at the end. But the job isn't all that it seems.,9.222308,/70kL9vXjbCAYd3wNXYScCBGlkJC.jpg,"[{'name': 'Duplass Brothers Productions', 'id': 1974}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2017-05-05,0,83.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,A good hostage is hard to find.,Take Me,False,6.0,38
False,,0,[],,408624,tt5918074,en,A Death in the Gunj,A sensitive university student unraveling while on a week-long vacation with a crowd of cocksure relatives and family friends.,0.516993,/ksqGltfJzYJL3lV4YvoIkVgcU55.jpg,"[{'name': 'Studioz IDrream', 'id': 85800}, {'name': 'MacGuffin Pictures', 'id': 85801}]","[{'iso_3166_1': 'IN', 'name': 'India'}]",2016-09-10,0,110.0,"[{'iso_639_1': 'bn', 'name': 'বাংলা'}, {'iso_639_1': 'en', 'name': 'English'}]",Released,,A Death in the Gunj,False,7.0,5
False,,0,"[{'id': 14, 'name': 'Fantasy'}, {'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}]",,413421,tt5502766,hi,फिल्लौरी,A man is forced to marry a tree to ward off ill-luck that surrounds his love-life which turns into a nightmare when the tree is embodied by a spirit with an unfinished business.,0.600717,/zBsPbHNKMDu1hWowWoIVlnbSLJC.jpg,"[{'name': 'Fox Star Studios', 'id': 12154}, {'name': 'Clean Slate Films', 'id': 80879}]","[{'iso_3166_1': 'IN', 'name': 'India'}]",2017-03-24,0,138.0,"[{'iso_639_1': 'hi', 'name': 'हिन्दी'}]",Released,Some love stories last beyond a lifetime,Phillauri,False,7.1,11
False,,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",,261871,tt3338382,ru,Полярный рейс,Sometimes New Year eve can bring a lot of surprises...,0.036523,/bXaoodAqE20vpQFUtypgP6ktHVf.jpg,"[{'name': 'Wise Vision', 'id': 21279}]","[{'iso_3166_1': 'UA', 'name': 'Ukraine'}]",2013-12-12,0,90.0,"[{'iso_639_1': 'ru', 'name': 'Pусский'}]",Released,,Polar Flight,False,0.0,0
False,,0,"[{'id': 12, 'name': 'Adventure'}]",,317389,tt0070695,es,Simbad e il califfo di Bagdad,,0.006352,/izk7KbT6LZO9baEhCkOZYMgj60w.jpg,"[{'name': 'Roas Produzioni', 'id': 21137}, {'name': 'Buton Film', 'id': 43810}]","[{'iso_3166_1': 'IT', 'name': 'Italy'}]",1973-07-22,0,,"[{'iso_639_1': 'it', 'name': 'Italiano'}]",Released,,Simbad e il califfo di Bagdad,False,0.0,0
False,,0,"[{'id': 99, 'name': 'Documentary'}, {'id': 10769, 'name': 'Foreign'}]",,91563,tt0478101,en,Black Sun,"Blurred images illustrate the narration of Hugues de Montalembert, who was blinded during a mugging.",0.110421,/yzGIHtd5OOCmdktazeJESdyFriS.jpg,[],"[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",2005-09-12,0,75.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Black Sun,False,8.3,3
False,,2,[],,227143,tt2401213,uk,Іван Сила,"""Strong Ivan"" is a film telling an outstanding life story of Ivan Firtsak who was born in June, 1899 in a Ukrainian village Bilky, Irshava district in Zakarpattia Oblast. At the age of 18 he became a performer with a Czechoslovak circus and travelled to 64 countries of the world, astonishing everybody with his victories. He was a weightlifting champion of Czechoslovakia, a bodybuilding champion of Europe. He earned the nickname Strong Ivan Croton for his incredible strength. Ivan Firtsak won a great number of single combats with famous wrestlers of the world. From hands of the Queen of England he received a helmet and a belt decorated with cold and diamonds. American press called him the strongest man of the XX century. In 1937 in the prime of his fame he came back to the homeland.",0.067263,/A1HSEPyFjgtjy9WyXIak3v7pdEx.jpg,[],[],2013-10-02,0,80.0,"[{'iso_639_1': 'uk', 'name': 'Український'}]",Released,,Іван Сила,False,7.0,1
False,,0,"[{'id': 10749, 'name': 'Romance'}, {'id': 35, 'name': 'Comedy'}]",https://www.netflix.com/title/80171022,432789,tt5990342,en,The Incredible Jessica James,"Burned by a bad breakup, a struggling New York City playwright makes an unlikely connection with a divorced app designer she meets on a blind date.",5.667067,/r7tDHGsFzHY0YBCaaNctvAxZhpc.jpg,[],[],2017-01-27,0,83.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,"Likes are easy, love is hard.",The Incredible Jessica James,False,6.2,37
False,,0,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}]",,264269,tt2400314,ru,Vladeniye 18,"Sveta and Maxim, a happy newlyweds, are moving to their hew apartment only to discover that there is something mysterious and wrong about their new building.",0.217441,/aU51pWVHtLVsFOJA88Gp7F5l1CY.jpg,"[{'name': 'Lyuksor', 'id': 21946}]","[{'iso_3166_1': 'RU', 'name': 'Russia'}]",2014-03-13,320395,90.0,"[{'iso_639_1': 'ru', 'name': 'Pусский'}]",Released,,Apartment 18,False,4.4,4
False,"{'id': 200641, 'name': 'Red Lotus Collection', 'poster_path': '/yf9Eod9ANXyHTzDpAxz9ezgvlL4.jpg', 'backdrop_path': '/3fhHbLeO3DqdHvgHg5szs399eBb.jpg'}",0,"[{'id': 28, 'name': 'Action'}, {'id': 10769, 'name': 'Foreign'}]",,182030,tt0059292,zh,火燒紅蓮寺之鴛鴦劍俠,"Kwei Wu happens upon a kidnapping with his wife Kan Lien-chu at the Red Lotus Temple. Kan sends Kwei to go for reinforcements while she stays to fight the kidnappers. Fortunately, the mysterious Scarlet Maid is surreptitiously helping her.",0.674934,/cnpSuGMeWNU8Mfs0CIVL38TqRZ7.jpg,"[{'name': 'Shaw Brothers', 'id': 5798}]",[],1965-12-22,0,88.0,"[{'iso_639_1': 'zh', 'name': '普通话'}]",Released,,The Twin Swords,False,5.6,4
False,,0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 10769, 'name': 'Foreign'}]",,32388,tt0063105,zh,金燕子,"Golden Swallow revolves around the further adventures of its title character. This time around, she is forced into violence when a figure from her mysterious past goes on a killing rampage while leaving evidence that holds her responsible. Golden Swallow also makes room for a love triangle involving a mad, but righteous, swordsman named Silver Roc and a gentle warrior named Golden Whip. The three team up to conquer the evil forces of the martial world, but their joint venture only lasts so long, due to the two men's egos. Ultimately, a duel to the death is planned between them, leaving Golden Swallow caught between two men, both of whom she admires.",1.390381,/qbZbgGaAuvnm7eWmXaNBECk3CXm.jpg,"[{'name': 'Shaw Brothers', 'id': 5798}]","[{'iso_3166_1': 'HK', 'name': 'Hong Kong'}]",1968-04-03,0,89.0,"[{'iso_639_1': 'zh', 'name': '普通话'}]",Released,,Golden Swallow,False,6.5,10
False,,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 27, 'name': 'Horror'}, {'id': 18, 'name': 'Drama'}]",,434873,tt5735280,en,It Stains the Sands Red,"In the throes of a zombie apocalypse, A troubled woman from Las Vegas with a dark past, finds herself stranded in the desert with a lone and ravenous zombie on her tail.",8.471866,/rBCjDBa2Dau9WqEslCpdJni394M.jpg,"[{'name': 'Digital Interference Productions', 'id': 52207}, {'name': 'Grasswood Media', 'id': 86331}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2016-10-08,0,92.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,"If the heat doesn't kill you, something else will",It Stains the Sands Red,False,5.6,21
False,,0,[],,175461,tt0140434,de,Lichtspiel opus I,"Against a dark background, several bright, curved or rounded shapes pulse towards the center of the screen, one at a time. They are followed by many other shapes, some irregular, some pointed, others rounded. The abstract shapes move into or across the screen in harmony with the musical score.",0.212768,/10Ijl1svZg0GNNzATfvCKBABX6Y.jpg,[],[],1921-04-26,0,12.0,[],Released,,Lichtspiel opus I,False,6.5,10
False,,0,"[{'id': 16, 'name': 'Animation'}]",,175457,tt0403386,en,Opus II,An abstract animation from Walter Ruttmann.,0.177238,/xShOZM3yHD00MOJKBegQ0o8RTvD.jpg,[],"[{'iso_3166_1': 'DE', 'name': 'Germany'}]",1921-12-31,0,4.0,[],Released,,Opus II,False,6.7,5
False,,0,[],,176298,tt0177955,en,Opus III,An abstract animation from Walter Ruttmann.,0.256196,/wB5f6gOiqHR8lJWxjIlBJnLbF0s.jpg,[],[],1924-03-11,0,3.0,[],Released,,Opus III,False,6.9,5
